X,Y,Z,SignedDistance
329375.199221383,7744811.14716598,335.234973473614,151.293
329376.523564476,7744811.35692132,333.75102405185,149.617
329377.845349472,7744811.5662715,332.264734400895,147.95
329379.167134469,7744811.77562168,330.77844474994,146.292
329380.488919465,7744811.98497185,329.292155098986,144.643
329381.810704462,7744812.19432203,327.805865448031,143.003
329383.132489458,7744812.40367221,326.319575797076,141.372
329384.460654527,7744812.61403289,324.839153634789,139.745
329385.79519967,7744812.82540407,323.364598961168,138.124
329387.129744812,7744813.03677526,321.890044287548,136.513
329388.464289954,7744813.24814644,320.415489613928,134.912
329389.798835096,7744813.45951763,318.940934940308,133.321
329391.133380238,7744813.67088882,317.466380266687,131.742
329392.470463208,7744813.88266195,315.994188334727,130.173
329393.810084006,7744814.09483704,314.524359144427,128.613
329395.149704804,7744814.30701213,313.054529954127,127.066
329396.489325602,7744814.51918722,311.584700763828,125.532
329397.8289464,7744814.73136231,310.114871573528,124.01
329399.168567198,7744814.9435374,308.645042383228,122.503
329400.508187996,7744815.15571249,307.175213192928,121.01
329401.847808794,7744815.36788759,305.705384002628,119.531
329403.187429592,7744815.58006268,304.235554812328,118.068
329404.52705039,7744815.79223777,302.765725622028,116.621
329405.866671188,7744816.00441286,301.295896431728,115.191
329407.206291986,7744816.21658795,299.826067241428,113.777
329408.545912784,7744816.42876304,298.356238051128,112.382
329409.885533582,7744816.64093813,296.886408860828,111.005
329411.22515438,7744816.85311322,295.416579670528,109.647
329412.564775178,7744817.06528831,293.946750480229,108.309
329413.904395976,7744817.2774634,292.476921289929,106.992
329415.244016774,7744817.48963849,291.007092099629,105.696
329416.583637572,7744817.70181358,289.537262909329,104.422
329417.92325837,7744817.91398867,288.067433719029,103.172
329419.262879168,7744818.12616376,286.597604528729,101.945
329420.602499966,7744818.33833885,285.127775338429,100.743
329421.942120764,7744818.55051394,283.657946148129,99.567
329423.281741562,7744818.76268903,282.188116957829,98.417
329424.62136236,7744818.97486412,280.718287767529,97.295
329425.960983158,7744819.18703921,279.248458577229,96.201
329427.300603956,7744819.3992143,277.778629386929,95.137
329428.640224754,7744819.61138939,276.308800196629,94.104
329429.979845552,7744819.82356448,274.83897100633,93.101
329431.357276495,7744820.00490671,273.400291405652,92.105
329432.734707439,7744820.18624893,271.961611804975,91.142
329434.112138383,7744820.36759115,270.522932204298,90.173
329435.489569326,7744820.54893338,269.08425260362,88.848
329436.86700027,7744820.7302756,267.645573002943,87.549
329438.244431213,7744820.91161783,266.206893402266,86.277
329439.621862157,7744821.09296005,264.768213801588,84.986
329440.999293101,7744821.27430227,263.329534200911,83.259
329442.376724044,7744821.4556445,261.890854600234,81.545
