X,Y,Z
329000.662455009,7743474.99621348,408.932348866193
329000,7743474.05932287,408.926987439083
329000,7743474.99622126,408.934708966288
329000,7743475.93310294,408.942469116729
329000,7743477.8472,408.958283106637
329002.67830245,7743477.84716818,408.948661296001
329000,7743479.76133282,408.974177631044
329000.662418168,7743480.69817194,408.979577256275
329000,7743480.69817952,408.981918048732
329000,7743481.63501036,408.989697410092
329000,7743483.54915943,409.005552059054
329000.662383198,7743486.40013281,409.026926526394
329000,7743485.46334252,409.021487922939
329000,7743486.40014015,409.029246872522
329000,7743487.33692285,409.037045082096
329000,7743489.25112122,409.052939744147
329000.662350203,7743492.10209596,409.074394738264
329000,7743491.16535171,409.068916250821
329000,7743492.10210306,409.076693392385
329000,7743493.03882695,409.084526263948
329000,7743494.29611565,409.095078112719
329000.663916948,7743496.36281982,409.110948364232
329000,7743495.42980609,409.105041745173
329000,7743496.83377636,409.116845209483
329000,7743497.79216321,409.12413961616
329002.680697502,7743497.79211154,409.114802712043
329000,7743499.70296642,409.140146037292
329000.664774428,7743500.64311994,409.145706207045
329000,7743500.64313269,409.147978597298
329000,7743501.58327429,409.155851147426
329000,7743503.49410279,409.171812703641
329002.680642866,7743503.49405097,409.162571473799
329000,7743505.40498285,409.187857524411
329000.664720747,7743506.34506094,409.19345950154
329000,7743506.34507371,409.195706846059
329000,7743507.28514034,409.203596378897
329000,7743509.19604525,409.219594718936
329002.680589071,7743509.19599333,409.210454625429
329000,7743511.10700089,409.235676783664
329000.664667962,7743512.04700484,409.241321360198
329000,7743512.04701761,409.243542284158
329000,7743512.98701055,409.251448187877
329000,7743514.89799058,409.267482093508
329002.680536184,7743514.89793863,409.258448801172
329000,7743516.80902043,409.283600122179
329000.664616143,7743517.7489516,409.289288080473
329000,7743517.74896437,409.291481159242
329000,7743518.68888501,409.29940276004
329000,7743520.59993876,409.315470886042
329002.680484276,7743520.59988684,409.306550266398
329000,7743522.51104136,409.331623466354
329000.664565365,7743523.45090123,409.337355576242
329000,7743523.45091397,409.339519334474
329000,7743524.3907638,409.347455892704
329000,7743526.30188976,409.363556758862
329002.680433424,7743526.30183795,409.354754893863
329000,7743528.21306352,409.379742337961
329000.664515704,7743529.15285368,409.385519353717
329000,7743529.15286638,409.38765226449
329000,7743530.09264701,409.395602970625
329000,7743532.00384356,409.411734953354
329002.680383707,7743532.00379193,409.403058138926
329000,7743533.91508678,409.427951829181
329000.664467243,7743534.85480893,409.433774486229
329000,7743534.85482156,409.435874970238
